"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1872","236-NW",220,"meters",-112.436066,58.374332,TRUE
"1873","32-NW",275,"meters",-112.604416,59.677497,TRUE
"1874","331-NW",362,"meters",-110.613266,57.633213,TRUE
"1875","34-NW",239,"meters",-111.939857,59.565719,TRUE
"1876","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1877","389-NW",367,"meters",-111.113747,57.299912,TRUE
"1878","412-NW",789,"meters",-113.492157,57.38126,TRUE
"1879","414-NW",737,"meters",-112.846794,57.294983,TRUE
"1880","444-NW",537,"meters",-112.87368,57.164497,TRUE
"1881","545-NW",483,"meters",-110.207954,56.264293,TRUE
"1882","601-NW",553,"meters",-112.27784,56.145565,TRUE
"1883","663-NW",559,"meters",-113.027748,55.847248,TRUE
"1884","665-NW",638,"meters",-112.317108,55.799694,TRUE
"1885","792-NW",580,"meters",-112.013039,55.026519,TRUE
"1886","855-NW",594,"meters",-112.363113,54.682022,TRUE
"1887","857-NW",595,"meters",-111.759758,54.640964,TRUE
"1888","13-NW",259,"meters",-112.579437,59.869964,TRUE
"1889","14-NW",251,"meters",-112.230896,59.796966,TRUE
"1890","15-NW",215,"meters",-111.907753,59.783935,TRUE
"1891","1-NW",330,"meters",-110.282402,59.943126,TRUE
"1892","236-NW",220,"meters",-112.436066,58.374332,TRUE
"1893","266-NW",389,"meters",-112.512741,58.205688,TRUE
"1894","294-NW",473,"meters",-113.233276,58.088268,TRUE
"1895","296-NW",701,"meters",-112.561646,57.981269,TRUE
"1896","330-NW",300,"meters",-110.962219,57.668617,TRUE
"1897","359-NW",328,"meters",-111.054222,57.454883,TRUE
"1898","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1899","389-NW",367,"meters",-111.113747,57.299912,TRUE
"1900","473-NW",539,"meters",-113.249763,57.02507,TRUE
"1901","544-NW",469,"meters",-110.536407,56.315376,TRUE
"1902","545-NW",483,"meters",-110.207954,56.264293,TRUE
"1903","633-NW",575,"meters",-112.23922,55.970794,TRUE
"1904","664-NW",532,"meters",-112.605179,55.852993,TRUE
"1905","791-NW",575,"meters",-112.233109,55.034576,TRUE
"1906","794-NW",762,"meters",-111.336494,54.970066,TRUE
"1907","825-NW",641,"meters",-111.665276,54.811954,TRUE
"1908","855-NW",594,"meters",-112.363113,54.682022,TRUE
"1909","857-NW",595,"meters",-111.759758,54.640964,TRUE
"1910","990-NW",640,"meters",-111.464218,53.872203,TRUE
"1911","1-NW",330,"meters",-110.282402,59.943126,TRUE
"1912","235-NW",222,"meters",-112.75727,58.367568,TRUE
"1913","266-NW",389,"meters",-112.512741,58.205688,TRUE
"1914","296-NW",701,"meters",-112.561646,57.981269,TRUE
"1915","32-NW",275,"meters",-112.604416,59.677497,TRUE
"1916","331-NW",362,"meters",-110.613266,57.633213,TRUE
"1917","34-NW",239,"meters",-111.939857,59.565719,TRUE
"1918","388-NW",310,"meters",-111.48172,57.341125,TRUE
"1919","389-NW",367,"meters",-111.113747,57.299912,TRUE
"1920","390-NW",577,"meters",-110.721565,57.268985,TRUE
"1921","3-NW",214,"meters",-111.849083,59.94268,TRUE
"1922","413-NW",682,"meters",-113.110275,57.323272,TRUE
"1923","444-NW",537,"meters",-112.87368,57.164497,TRUE
"1924","474-NW",519,"meters",-112.872215,56.952861,TRUE
"1925","512-NW",455,"meters",-110.742599,56.56314,TRUE
"1926","575-NW",447,"meters",-110.594681,56.109256,TRUE
"1927","633-NW",575,"meters",-112.23922,55.970794,TRUE
"1928","823-NW",572,"meters",-112.384628,54.883815,TRUE
"1929","825-NW",641,"meters",-111.665276,54.811954,TRUE
"1930","857-NW",595,"meters",-111.759758,54.640964,TRUE
"1931","991-NW",613,"meters",-111.167091,53.823879,TRUE
"1932","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"1933","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1934","1056-NW",656,"meters",-111.814735,53.557827,TRUE
"1935","1057-NW",673,"meters",-111.518913,53.477196,TRUE
"1936","1058-NW",658,"meters",-111.241508,53.439002,TRUE
"1937","13-NW",259,"meters",-112.579437,59.869964,TRUE
"1938","14-NW",251,"meters",-112.230896,59.796966,TRUE
"1939","15-NW",215,"meters",-111.907753,59.783935,TRUE
"1940","234-NW",245,"meters",-113.046516,58.418022,TRUE
"1941","266-NW",389,"meters",-112.512741,58.205688,TRUE
"1942","294-NW",473,"meters",-113.233276,58.088268,TRUE
"1943","33-NW",285,"meters",-112.275978,59.646675,TRUE
"1944","358-NW",296,"meters",-111.375656,57.497894,TRUE
"1945","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1946","390-NW",577,"meters",-110.721565,57.268985,TRUE
"1947","442-NW",766,"meters",-113.577225,57.201564,TRUE
"1948","575-NW",447,"meters",-110.594681,56.109256,TRUE
"1949","632-NW",502,"meters",-112.605103,55.979862,TRUE
"1950","791-NW",575,"meters",-112.233109,55.034576,TRUE
"1951","792-NW",580,"meters",-112.013039,55.026519,TRUE
"1952","856-NW",580,"meters",-112.058853,54.65763,TRUE
"1953","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1954","1-NW",330,"meters",-110.282402,59.943126,TRUE
"1955","266-NW",389,"meters",-112.512741,58.205688,TRUE
"1956","295-NW",648,"meters",-112.838333,58.05516,TRUE
"1957","296-NW",701,"meters",-112.561646,57.981269,TRUE
"1958","2-NW",193,"meters",-112.202679,59.970813,TRUE
"1959","329-NW",266,"meters",-111.269035,57.668869,TRUE
